Address (Store1),Address (Store1) - 분할 2,Catrgory Code (Store1),Local Code (Store1),Store Code (Store1),Store Name (Store1)
서울 서대문구 연세로 32 1~4층,서대문구,디저트카페,(지번) 창천동 31-15,STORE_SDM00036,고르드
서울 서대문구 연희로11길 61,서대문구,카페,(지번) 연희동 126-1,STORE_SDM00037,스웨이커피스테이션
서울 서대문구 연세로5다길 35,서대문구,베트남음식,(지번) 창천동 72-23,STORE_SDM00038,미분당 신촌본점
서울 서대문구 통일로 205-3,서대문구,"제과,베이커리",(지번) 영천동 291,STORE_SDM00039,달인꽈배기
서울 서대문구 연희로15길 27,서대문구,중식,(지번) 연희동 132-27,STORE_SDM00040,라이라이
서울 서대문구 이화여대5길 5 1층,서대문구,"제과,베이커리",(지번) 대현동 56-23,STORE_SDM00041,마더린러베이글
서울 서대문구 명물길 26,서대문구,"돈까스,우동",(지번) 창천동 13-16,STORE_SDM00042,엠브로돈까스 신촌점
서울 서대문구 통일로 107-39 사조빌딩 2층,서대문구,한정식,(지번) 충정로2가 157,STORE_SDM00043,사조미가
서울 서대문구 이화여대길 87,서대문구,퓨전요리,(지번) 대현동 27-5,STORE_SDM00044,반서울
서울 서대문구 연희맛로 17-14 1층,서대문구,"찌개,전골",(지번) 연희동 130-10,STORE_SDM00045,월순철판동태찜 연희본점
서울 서대문구 독립문로 31-11,서대문구,"호프,요리주점",(지번) 옥천동 67-3,STORE_SDM00046,더풍년
서울 서대문구 연세로 36 독수리빌딩 8층,서대문구,다방,(지번) 창천동 31-4,STORE_SDM00047,독수리다방
서울 서대문구 연세로4길 6 2층,서대문구,"멕시칸,브라질",(지번) 창천동 18-11,STORE_SDM00048,이빠네마그릴
서울 서대문구 연세로5다길 10,서대문구,"초밥,롤",(지번) 창천동 62-11,STORE_SDM00049,여우골
서울 서대문구 이화여대7길 48 1층 101호,서대문구,"제과,베이커리",(지번) 대현동 27-46,STORE_SDM00050,비밀
서울 서대문구 연세로5다길 12,서대문구,"떡,한과",(지번) 창천동 62-13,STORE_SDM00051,가례원
서울 서대문구 연세로4길 38,서대문구,카페,(지번) 창천동 13-35,STORE_SDM00052,클로리스 신촌점
서울 서대문구 응암로 118 1층,서대문구,디저트카페,(지번) 북가좌동 278-9,STORE_SDM00053,빈플루
서울 서대문구 증가로10길 37,서대문구,떡볶이,(지번) 남가좌동 324-46,STORE_SDM00054,엄마손떡볶이 본점
서울 서대문구 연세로7길 25,서대문구,"호프,요리주점",(지번) 창천동 57-20,STORE_SDM00055,역전할머니맥주 서울신촌점
서울 서대문구 충정로 7,서대문구,이탈리안,(지번) 충정로3가 476,STORE_SDM00056,옐로우볼
서울 서대문구 연세로7안길 34-1 1층,서대문구,일본식라면,(지번) 창천동 53-97,STORE_SDM00057,카라멘야
서울 서대문구 연희로11나길 7-7,서대문구,카페,(지번) 연희동 128-27,STORE_SDM00058,푸어링아웃
서울 서대문구 연희로25길 72 1층,서대문구,"제과,베이커리",(지번) 연희동 85-17,STORE_SDM00059,재인
서울 서대문구 충정로4길 8,서대문구,"찌개,전골",(지번) 충정로3가 257,STORE_SDM00060,호산나의정부부대찌개
서울 서대문구 연희맛로 43,서대문구,한정식,(지번) 연희동 133-24,STORE_SDM00061,조은집
서울 서대문구 연세로7안길 37 지하1층,서대문구,퓨전일식,(지번) 창천동 53-20,STORE_SDM00062,야바이
서울 서대문구 연희로11길 29,서대문구,"제과,베이커리",(지번) 연희동 130-2,STORE_SDM00063,에브리띵베이글
서울 서대문구 연세로5다길 35,서대문구,"초밥,롤",(지번) 창천동 72-23,STORE_SDM00064,기꾸스시
서울 서대문구 연세로5길 26-9,서대문구,일본식라면,(지번) 창천동 62-10,STORE_SDM00065,부탄츄 신촌점
서울 서대문구 명물1길 2 1층,서대문구,"돈까스,우동",(지번) 창천동 31-26,STORE_SDM00066,꼬숑돈까스
서울 서대문구 신촌역로 16,서대문구,분식,(지번) 대현동 27-20,STORE_SDM00067,미스터서왕만두
서울 서대문구 명물길 33 2층,서대문구,"스테이크,립",(지번) 창천동 45-12,STORE_SDM00068,미도인 신촌점
서울 서대문구 연희맛로 24 1층 101호,서대문구,칵테일바,(지번) 연희동 188-71,STORE_SDM00069,책바
서울 서대문구 연세로2길 94 1층 3호,서대문구,"초밥,롤",(지번) 대현동 104-40,STORE_SDM00070,연어초밥
서울 서대문구 모래내로 271,서대문구,설렁탕,(지번) 홍은동 415-46,STORE_SDM00071,모래내설농탕 본점
서울 서대문구 거북골로20길 71,서대문구,일본식주점,(지번) 북가좌동 310-6,STORE_SDM00072,심야식당텐조
서울 서대문구 충정로 20,서대문구,카페,(지번) 충정로3가 270,STORE_SDM00073,벙커1
서울 서대문구 명물1길 28 1층,서대문구,"스테이크,립",(지번) 창천동 31-7,STORE_SDM00074,스떼이끄300
서울 서대문구 연세로5나길 30-16 1층,서대문구,"곱창,막창",(지번) 창천동 57-36,STORE_SDM00075,부추곱창
서울 서대문구 통일로39나길 5 1층,서대문구,디저트카페,(지번) 홍제동 330-226,STORE_SDM00076,하이드미플리즈
